"id","email","name","password","role","active","ownerApproved","createdAt"
1,"admin@kickoff.local","Admin","$2a$10$evFbXgANp61ByJuGlOLFeuIZxjoJUX/jlQIwRukcr.Qn8GiNiyLNm","ADMIN",True,True,"2026-01-23 04:40:27.374"
2,"prub1@example.com","prueb1","$2b$10$9zwEJL/FcVoYEPgIePeATOj0bL.UeBMWNTBZJx1c9BAzBBq6aVKLy","PLAYER",True,False,"2026-01-24 03:35:36.927"
3,"admin123","admin123","$2b$10$mgaSv/RyYcnf.K4S1KLmtuBo3gmWiOKB3zrN7W6Rep26GxRJFaWIW","OWNER",True,False,"2026-01-24 03:36:42.681"
5,"usaurio2@example.com","usario2","$2b$10$MkgVEKBdtm0GGPwKTxoR..D33TSoL65uvYEhJcH/2TgnMCQld42Yu","PLAYER",True,False,"2026-01-24 03:44:26.528"
6,"usaurio3@example.com","usuario3","$2b$10$BhdzUvZ0pPChSRGNxIzvKOG/FAYTqNvK.FcsVHzFpvEND0qatH2E6","PLAYER",True,False,"2026-01-24 03:45:17.543"
7,"uno","uno","$2b$10$0GJx0tcsAIE4py74SCPCLeVrq1oJL4fJPNpePW1DtufCJyf0ZuUFm","PLAYER",True,False,"2026-01-24 03:45:55.918"
8,"duenio1@example.cpm","duenio1","$2b$10$ckjlRa0ev1B8ufh/ljucT.1KKaz4rpGj2zTEQAUhsVWeVpBrRYtUi","PLAYER",True,False,"2026-01-24 05:01:54.875"
9,"duenio2@example.com","duenio2","$2b$10$Vj7.t3OqCuZQRq4tnePsZeEw2vcAODN7VW2yRLSyN9IS8S9acgU2C","OWNER",True,False,"2026-01-24 05:02:35.281"
10,"duenio3@example.com","duenio3","$2b$10$3Bm3tl4jRuYNJ8e8I/ZUfuL091.1D3sZns78BS4DEvhLr5r8DiCgu","PLAYER",True,False,"2026-01-24 05:03:39.162"
11,"duenio4@example.com","duenio4","$2b$10$g6fAeb413d8BVKTCYDGWL.V23sO31N74PPkwhWCfQlcHSbaLfY3mq","OWNER",True,False,"2026-01-24 05:04:19.083"
12,"owner3","owner3","$2b$10$JUGpy.bG4MFBKw/Y2VDvQeivhm64CRvRrHztzq4wIJR4UKo5fNGVe","OWNER",True,False,"2026-01-24 05:05:44.707"
13,"duenio5","duenio5","$2b$10$XFSZN0l5pkaXECQ5CgokPumSlHspHKa5LPIAft.qk44tz6EXLLBo2","OWNER",True,False,"2026-01-24 05:51:10.369"
14,"m.freire@example.com","Miltin Freire","$2b$10$mInOI8z6y2avArMTq78slu7btFf0UICHepUDqmJNgcqGxnL5QbHMK","PLAYER",True,False,"2026-01-24 15:11:58.15"
